,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status,Current Price,Shares Outstanding
306,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,71.116,40.01,4.27,4.3282657,0.10883999,0.25741,0.06578,0.10399,14.474,1.7171e+11,0.10883999,0.10883999,0.04597318,0.04597318,0.04597318,39810000000.0,25920000000.0,15160000000.0,4350000000.0,1.569,0.4,0.013,10380000000.0,5.575,28510000000.0,1.591,14.537,8490000000.0,0.972454,4.0,0.752,21180000.0,2.33,0.007728,18460000.0,N/A,62.92,2740000000.0
307,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,74.392,32.44,4.46,5.5659976,0.14332,0.22376,0.08203,0.18247999,31.498,53960000000.0,20.497871,20.497871,2.25,0.14395046,0.14395046,11320000000.0,7500000000.0,3230000000.0,1690000000.0,4.45,0.093,0.184,1810000000.0,8.899,7220000000.0,3.089,25.963,1700000000.0,0.585267,0.08288,0.76,4840000.0,4.21,0.014306,4840000.0,N/A,144.51,373760000.0
308,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,19.816,27.62,3.62,2.6781821,0.13529,0.19146,0.06602000,0.10113,13.679,8740000000.0,17.742958,17.742958,1.3,0.11271363,0.11271363,2340000000.0,1530000000.0,706820000.0,322200000.0,1.83,0.095,0.073,866300000.0,4.888,645720000.0,3.662,18.815,817540000.0,0.349249,0.02804,0.891,6600000.0,1.84,0.039287,6820000.0,N/A,50.39,172870000.0
309,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,328.551,N/A,0.52,2.443169,0.09270999,0.16781001,0.03945,0.06303999,20.936,7330000000.0,9.14876,9.14876,1.06,0.12419867,0.12419867,13590000000.0,2430000000.0,3490000000.0,1.944,1.944,0.068,0.068,2880000000.0,3.366,20330000000.0,1.221,4.531,2950000000.0,1.47544,0.00263,0.96800005,7860000.0,1.6,0.01543599,6390000.0,N/A,11.07,660140000.0
310,N/A,N/A,fl,N/A,N/A,N/A,N/A,N/A,4.5,9.90,0.81,2.258875,0.08392999,0.12519,0.15946001,0.23758,58.617,6330000000.0,8.79529,8.79529,1.28,0.17748845,0.17748845,7770000000.0,2640000000.0,1130000000.0,4.874,4.874,0.022,0.007,0.92,7.989,1.961,4.901,21.493,0.022,0.311881,0.01118,0.998,9570000.0,3.32,0.07351699,9400000.0,N/A,48.55,131300000.0
311,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,405.022,21.82,0.52,11.385483,0.02496,0.07045,0.0846,0.47809,86.533,7740000000.0,15.222951,15.222951,2.33,0.11605000,0.11605000,14760000000.0,5320000000.0,1700000000.0,2.136,2.136,0.423,0.032,1650000000.0,3.933,2740000000.0,1.008,4.078,1560000000.0,0.663377,0.26416,0.566,30310000.0,8.24,0.26039302,28180000.0,N/A,46.43,166050000.0
312,N/A,N/A,flr,N/A,N/A,N/A,N/A,N/A,46.828,26.91,0.33,1.9766079,0.01222,0.02829999,0.03789000,0.08704001,139.622,6360000000.0,15.386824,15.386824,1.42,0.14890015,0.14890015,19040000000.0,790320000.0,784810000.0,237690000.0,1.69,0.419,0.093,705920000.0,14.612,1570000000.0,1.512,23.042,861500000.0,1.33989,0.00283,0.85400003,5300000.0,3.37,0.038188,5220000.0,N/A,45.545,139780000.0
313,N/A,N/A,dis,N/A,N/A,N/A,N/A,N/A,45.81,18.20,2.93,3.7911568,0.16628,0.25958002,0.09897999,0.20216998,34.701,1.6334e+11,15.415305,15.415305,1.95,0.03632736,0.03632736,55630000000.0,25640000000.0,17100000000.000002,9240000000.0,5.734,0.154,0.028,13210000000.0,2.428,21650000000.0,0.937,27.365,11930000000.0,1.30121,0.07816,0.633,16070000.0,2.04,0.01016,14960000.0,N/A,103.745,1560000000.0
314,N/A,N/A,wynn,N/A,N/A,N/A,N/A,N/A,2782.568,51.41,2.76,62.802963,0.05412,0.12894,0.03545,1.5184801,48.695,13760000000.0,23.091837,23.091837,3.54,0.3916061,0.3916061,4470000000.0,1690000000.0,1100000000.0,267570000.0,2.631,0.338,0.479,970550000.0,26.311,9810000000.0,2.043,2.162,1270000000.0,2.02539,0.31888,0.75699997,5830000.0,3.06,0.074481,5830000.0,N/A,135.78,102360000.0
315,N/A,N/A,l,N/A,N/A,N/A,N/A,N/A,45.041,18.72,1.19,0.8528657,0.06401,0.18266001,0.01957,0.03875,39.218,15750000000.0,14.588785,14.588785,2.66,0.13807333,0.13807333,13110000000.0,7820000000.0,3260000000.0,2.5,2.5,1.9,0.04,2250000000.0,18.972,10690000000.0,0.532,54.909,2100000000.0,0.665863,0.16386999,0.617,1830000.0,2.11,0.006605,1640000.0,N/A,46.83,336700000.0
